logger,coef,intercept
20444033,1.0098126236734708,-0.2581581385091567
20444040,0.984868274809139,0.38733134602544095
20719656,0.995658653380988,0.11156073983691883
20937872,0.8111397042008381,4.877646528417922
20937873,0.8332576495159999,4.2910200168322525
20946644,1.003117466078264,-0.06787900589797177
21002972,0.8353653555733445,4.216578287101675
21002974,0.8060132709462243,5.016601681306656
21002975,0.8659642250126276,3.426206254010048
21002976,0.8180636542901513,4.722478143539514
21002977,0.8563729350803055,3.7503830672644853
21002979,0.8268381199205903,4.442255107223324
21002980,0.8460174233978753,3.9687919561997687
21002981,0.8527485239050256,3.796501712091872
21002982,0.8160890802284962,4.694838332549871
21335980,0.8805692313118215,3.039520240064491
21335982,0.8097680035027568,4.986139380626234
21335983,0.8134189005365378,4.76971679382956
21335984,0.8245418361556449,4.447920542819191
21335986,0.8570480182529071,3.627851529593795
21335987,0.8311059182679439,4.307539148065931
21335989,0.7567538719797308,6.238737510969398
